user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561197961619181/,1,60.0 hrs on record,"
				39 of 49 people (80%) found this review helpful5 people found this review funny			","
Posted: November 9, 2014
												best $5 I ever spent for a old game			"
http://steamcommunity.com/profiles/76561198039485065/,1,21.7 hrs on record,"
				174 of 183 people (95%) found this review helpful394 people found this review funny			","
Posted: July 7, 2015
												If you dug Morrowind's oppressive atmosphere (and ultimately totally op magic) but want a far more narrowly-focused experience with sexy snake women, a surprisingly immersive gesture-based magic casting system. Simple trolls wearing sumo diapers - then you have very specific tastes, and while this game does provide those things, you should probably lower your standards in general for your own wellbeing. You lovable nut.			"
http://steamcommunity.com/id/FrumiousBandersnatch/,1,42.8 hrs on record,"
				133 of 140 people (95%) found this review helpful2 people found this review funny			","
Posted: April 11, 2015
												Challenging and highly atmospheric, if also heavily flawed, dungeon crawler/immersive sim that is in many ways highly reminiscent of Looking Glass Studios classics. You'll journey trough decaying underground world filled with dark ritual, bloodthirsty enemies and eldritch horrors. Patience, experimentation and careful exploration are often rewarded, and also quite often -required- in a way that is rarely seen in modern games: Arx offers little to no hand holding to players during their journey through its sprawling, interconnected dungeons - thorough exploration and paying attention to clues and readables are keys to making any sort of progress!Game isn't without flaws tho: magic system, while original and also quite impressive in a sheer number of offered spells and their possible effects, is also somewhat clunky, and spellcasting is often unresponsive. Controls & interface in general will take some time to get used to.While game offers to player a freedom to develop his character in many possible directions, some skills are definitely far more useful than others, and some playstyles are far less developed than others. Stealth system for example is quite unrefined, and while it is sometimes useful and at some points borderline required to sneak (say early encounters with dreaded Ylside warriors), stealth tends to be rather useless and unsatisfying.There is quite a bit of different types of fun-to-use melee weapons, each with their own pros and cons. Ranged combat on the other hand, while quite useful at times, is made unnecessarily monotonous by the fact that the player is offered all of -two- bows, second one being pretty much unreachable on first playthrough without any outside help.Still, I'd say this game's assorted shortcomings are -very much- worth dealing with, and are far, FAR outweighed by its many qualities.Pretty much recommended to anyone with some patience and willingness to deal with game's flaws and idiosyncrasies.Also, i highly recommend using Arx Libertatis: it offers additional bug fixes and eliminates issues with modern hardware.			"
http://steamcommunity.com/profiles/76561198078139239/,1,32.6 hrs on record,"
				97 of 101 people (96%) found this review helpful3 people found this review funny			","
Posted: November 9, 2013
												This is definitely a title I'd say is ""underrated"". It's a relatively obscure RPG title that gives a fairly interesting setting and good mechanics. The game is good overall, but it's definitely rough around the edges. PROS:The game is pretty immersive, with full first person and complete view of limbs and equipment. There are plenty of things to loot, plenty of things to kill. The game is also very atmospheric: lots of dank caves with dark ambience playing. The RPG elements are mostly good, but there's not much character interaction, no real dialogue trees. I have a lot of fun exploring dungeons in the game, they can go pretty deep and pretty wide. There are lots of immersive touches, like having to drag things manually into the inventory, to manually drawing runes to cast spells, to even staking zombies to make sure they stay dead. It helps make the game feel alive. _____CONS: The game barely conveys any information to the player; I've had to rely on walkthroughs extensively. The journal is worthless, it tells nothing about current tasks or reminders of where to go. If important details from dialogue are missed, they can't be found again. Navigation is nightmarish as there are no clear paths to get to locations, everything is located on separate underground levels. The game also is unbalanced in terms of combat and specialization. Playing as a thief or as just a warrior is suicidal, as a certain kind of enemy late-game cannot be easily killed with brute force. I had to restart my game to play as a sort of battlemage build, and now everything is easier. _____It's a pretty mixed bag overall. If one likes RPGs with somewhat original settings, compelling mechanics, plenty of immersion, and plenty of loot, then this game is good if one can look past the glaring flaws.			"
http://steamcommunity.com/id/Mavi222/,1,14.8 hrs on record,"
				78 of 82 people (95%) found this review helpful1 person found this review funny			","
Posted: May 2, 2015
												This game is absolutely amazing. For the game from the year 2002 it has really interesting mechanics, the whole casting by drawing spells is an interesting idea. The cooking mechanics are also something I didn't see in any other RPG yet.  Recently I installed it again because I discovered the Arx Liberatis mod that fixes the game for the modern computers (adds FullHD resolution, fixes spell casting - be sure to have v-sync on)			"
http://steamcommunity.com/profiles/76561198083409337/,1,48.3 hrs on record,"
				70 of 72 people (97%) found this review helpful1 person found this review funny			","
Posted: April 14, 2014
												Arx Fatalis awesome awesomenessone of my favorite rpg´s, innovative gameplay as a sample how you can interact: "" Bottle of Water + Flour = Bread Dough + Rolling Pin = Uncooked Pie + Apple = Uncooked Apple Pie + Bottle of Wine = Uncooked Apple Pie with Wine + Source of Heat = Apple Pie with Wine "" one of many things you can combine in the game world.The game world is authentic and its very exciting to explore.Atmosphere is great and often creepier than Stalker.Story is Epic and better than gothic 1 (gothic1 is my *1) sidequest´s are very nice too.			"
http://steamcommunity.com/profiles/76561198116288406/,1,1.8 hrs on record,"
				48 of 50 people (96%) found this review helpful			","
Posted: July 20, 2015
												The game with the most dense atmosphere I ever experienced. Intresting scenario and story, plus very specific controls.I can recommend this game for any RPG and adventure-games fans, but only if you can look past the very old  graphics.ATTENTION! Arx Fatalis doesn't work well on newer PCs and crashes very often, but luckily the free patch Arx Libetatis fixes all the bugs.			"
http://steamcommunity.com/id/rafflecastel/,1,22.1 hrs on record,"
				50 of 54 people (93%) found this review helpful16 people found this review funny			","
Posted: December 5, 2015
												If you consider yourself a fan of the RPG genre and still haven't played this, it's time to get on it.This is one of my favorite games ever and I could go on about this game with a big lengthy post but it's easier if I just point out it's only flaw:There's no sequel. "
http://steamcommunity.com/profiles/76561197968017053/,1,5.6 hrs on record,"
				41 of 47 people (87%) found this review helpful			","
Posted: May 31, 2014
												This was a serious sleeper game.I bought it on sale and found it to be a true gem.  From the unprecedented magic enactment system to just the feel of the entire world to the flow of gameplay...There is a reason Bethesda bought the studio behind this. They are truly talented.Highly recommended.			"
http://steamcommunity.com/id/Freyr-Oakenshield/,1,74.2 hrs on record,"
				28 of 31 people (90%) found this review helpful			","
Posted: July 20, 2014
Score: 4/5; I recommend Arx FatalisPC; Win XP 32-bit; Arx Fatalis v1.21completed; playing time: 74 hrsPros:+ An interesting storyline, NPCs, and quests+ A wide choice of spells and weapons+ The locations are varied enough, each with a distinctive atmosphere and decor+ Immersive sounds and voices in the background, especially in dungeons and catacombs+ You can use a shovel to dig stuff out of the ground or a pickaxe to get stuff out of rocks and graves, and knock down walls*+ You can use some weapons to carve wooden stakes to finish off some undead monsters+ You can steal, break into houses**+ Over time, you get hungry and need food+ You can cook your own food, catch fish, pick mushrooms, and prepare potions on your own (of course, you can also buy them)* not everywhere, only in some locations** the success depends on how you develop your skills when you level; if you don't develop the right skills, you won't be able to do it successfullyCons:- The spell casting mechanism is extremely annoying. Each spell consists of several rune letters. In order to cast a spell, you need to literally draw the runes on the screen with your mouse. In theory, it seems innovative and sounds like a lot of fun. However, it's not practical. You really need to be very accurate in drawing the runes; otherwise, you'll fail to cast your spells. It's extremely hard to do it in combat, as being under pressure (and battered by monsters), you often feel unable to focus on drawing, and usually fail to draw the runes accurately enough to be able to cast successfully. Luckily, you can pre-cast a few spells, but even pre-casting can sometimes be quite laborious. I would sometimes spend literally minutes trying to cast some spells consisting of the more difficult runes. For me, this was the most irritating part of the game.- Some aspects of the game seem to be a little unbalanced, e.g. Ylsides are extremely fast and strong, and they kill you within seconds - you can meet them early in the game, but you won't really be able to deal with them successfully until very late in the game; also, towards the end of the game, you may run out of life potions - you won't be able to buy them or find any plants to make them on your own- There are a few bugs and glitches here and there...- NPCs and monsters have a tendency to get caught in between various objects, like parts of walls, doors, etc. They simply get stuck and can't move. Well, that's how I killed a few Ylsides...- When saving, once I gave a name to a save file, I couldn't change it later- It's a 2002 game, so don't expect visuals like in Skyrim...All things considered, I experienced a lot more fun than irritation with this game. Therefore, in my opinion, the game is worth playing.			"
