user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/mazzopowah/,17,1,6.9 hrs on record,"
				1,201 of 1,314 people (91%) found this review helpful			","
Posted: January 14, 2014
Early Access Review
								Bugbear means Flatout series, Flatout series means lots of fun, both alone and with your friends.Even in alpha stage this game is really challenging: after the first few laps the track gets filled with debris and wreckages, and holding the 1st position when the other 10 remaining cars try to ram you into oblivion is a pretty tough job.Not mentioning the demolition derby. That's just mental.In the actual state, you can drive and tune 3 different cars and take part in both races (on gravel and tarmac tracks, straight and reverse route) and mosh pits (in 3 different arenas) in different weather and time of the day. There is also a figure-8 jump race. You can race against up to 23 opponents.This is the new generation Flatout.EDIT: as of 2/12/14, the game is still poorly optimized.I know it's still in an alpha state, and good thing the introduction of multiplayer, new cars and a WiP track, but please, if a dev will ever read this, focus on optimizing the game: I have a FX-9370 and 2x ASUS R9 270X in Crossfire and with medium settings, 20 cars, 1920x1080, the framerate sits between 30 and 50 FPS.			",66,4,7,9,11,4,26
http://steamcommunity.com/profiles/76561198082958318/,41,0,8.2 hrs on record,"
				276 of 306 people (90%) found this review helpful6 people found this review funny			","
Posted: November 29, 2016
Early Access Review
								Please stop defending bugbear like they are actually working on this game in good faith. They are not. At best, they've kept an intern on it releasing a new car or track once a quarter. It is unethical to sell an early access game to tons of people, then to almost completely abandon it to work on yet another early access game - http://www.wreckfestgame.com/stuntfest/. That's right. Instead of working on finishing this game, they've been working on creating yet another Early Access game, one which they will probably never finish either. Please do not support unethical developers.			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198024270997/,10,1,28.3 hrs on record,"
				429 of 498 people (86%) found this review helpful			","
Posted: January 15, 2014
Early Access Review
								One word : AMAZING !!BugBear come back at the top !!A kind of Flatout but more realistic, closer to Destruction Derby 2 but... more realistic !Vehicle behavior is just fantastic, impacts are accuracy, the laws of physics are outstanding, no object passes through another !A subtle driving, you can disable some assistances and drive in manual transmission !24 cars on the track and everything works with astonishing fluidity !AI is smart and unpredictible !Engine sounds are very good (love this damn american V8 !)A real inside view allowing you to see in 360 degrees !We feel that the game is made by passionnates to the slightest details !Definitely, if you love to drive powerful rusty cars, don't wait and support these awesome devs !!...


YouTube™ Video:  

			Views: 0		



 ",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198021530526/,43,1,35.7 hrs on record,"
				680 of 838 people (81%) found this review helpful			","
Posted: January 14, 2014
Early Access Review
								Cars, racing, crashing, destruction = awesome!			",641,142,53,63,83,10,106
http://steamcommunity.com/profiles/76561198027357805/,14,1,8.4 hrs on record,"
				1,004 of 1,278 people (79%) found this review helpful137 people found this review funny			","
Posted: November 29, 2014
Early Access Review
								More chrashes than unity10/10			",102,5,2,8,5,0,3
http://steamcommunity.com/id/darkliberator/,115,1,5.9 hrs on record,"
				501 of 566 people (89%) found this review helpful			","
Posted: January 14, 2014
Early Access Review
								Made by the flatout devs. Technology Sneak Peek is worth it just for the money itself. The sheer amount of stuff you can do in it, test the physics, is just pure fun. The destruction on the cars I the best I've seen. There's not many tracks at the moment, but right now its only pre-alpha and they're adding more onto based on their development roadmap.Highly recommended if you're looking for a racing game with lots of destruction.			",475,82,13,46,70,4,105
http://steamcommunity.com/id/LordTyler/,7,0,11.4 hrs on record,"
				366 of 431 people (85%) found this review helpful31 people found this review funny			","
Posted: December 22, 2015
Early Access Review
								The creators of this game boosted the price from $30 to $40 before the winter sale, then put it on sale.What a scam and a terrible company, this game was good, but now im going to go for a refund..https://steamdb.info/app/228380/You can see the price jump, then the sale price.EDIT: Melo is lying, nobody would be this persistant if they weren't being paid, I believe the company is sending people to spam this,I've actively removed his comments, but he spams them every hour or so, it contains bb/HTML code looks like from an email :/			",147,7,2,7,14,1,24
http://steamcommunity.com/id/mostlynice/,14,1,16.4 hrs on record,"
				145 of 166 people (87%) found this review helpful			","
Posted: July 10, 2014
Early Access Review
								Let me start of by stating this is actually pre-alpha. However, it is extremely badass and very promising despite the complete lack of content it shows a lot of promise. Next-car game offers much for a game so early in its development, the physics engine is second to none and the handling on the cars feels like it's getting there. The pre-alpha even boasts a photo mode to capture all the carnage, and looks like it will support lots of lens effects and photo editing tools too. Neat! Verdict: One to watch. Don't hesitate to buy if you support development. Very promising.7.5/10 ",372,95,31,62,56,2,76
http://steamcommunity.com/profiles/76561198024816087/,8,0,7.9 hrs on record,"
				159 of 189 people (84%) found this review helpful4 people found this review funny			","
Posted: August 11, 2015
Early Access Review
								Great potential, just like any other games that's still in pre-alpha. It's fun for a very short while and then the outstandingly low amount of content quickly makes you wonder how a game that needed 350.000$ to get done with a kickstarter, that ended up earning over 1.000.000$ in sales in only ONE week (In January 2014 when it was released as early access) can still be in in such a poor state. Considering development started in 2012 for this game, how much more money or time do you need to get out of pre-alpha?Another good example of how buying unfinished products is bad for the industry.			",44,3,4,7,2,0,4
http://steamcommunity.com/profiles/76561197976729832/,11,1,70.2 hrs on record,"
				313 of 368 people (85%) found this review helpful			","
Posted: January 15, 2014
Early Access Review
								New info first:They have finally released the major update. Lot of things have changed. More cars and tuning possibilities. New graphics ect. (read update reports). -The game doesnt feel the same now. (No... It's even better after new updates)-Graphics are nice and smooth now. Better than it was.-Car physics still needs bit of a work to do but the feel of chaos is intense again.-Online gaming is lot smoother and less laggy than it wasBUT.... Devs had a lot of work to get that new stuff to work and now they can focus on polishing it and releasing a new content. Oh and I almost forgot! New team racing mode feels really refreshing and fun. Im sorry that I crashed in to my teammates couple of time and they ended into drive in bonfires, but I lost the control of my car... :PThis really is a really good game at this stage, but need a lot of work to do before finished! I will highly recommend this game to anyone who likes to drive!My older review below:Great physichs! Beautiful graphics! Extremely fun to play! Lots.... and I mean LOTS of car parts and trash flying! (<-In a nutshell) This game is an experience that reminds me a bit of first Flatout, but is so much more. Control of the car feels good and theres lots of potential to be a game of the year. In a 24 player race after two laps theres so much trash and car wrecks on the road that makes it hard to get to the goal or avoid crashing. And when you crash and stop others behind you can hit you hard and it might be the end of the race for you. AI is really good and it makes mistakes as well and its fun to watch them crashing when you gain better position. They drive pretty good too and its not so simple thing to be #1. Derby is fun but I prefer racing more. In a derby the cars will be totally rasins after the round. Even too much if you are too serious but at the end it really doesent matter. Its so much fun anyway. In the early access theres now 2 race tracks, 2 cars and a derby arena. It isnt much but I still keep playing. This feels so fresh and welcoming after all crappy car games and NFS games what cant give you anything new. Cant wait when this pearl is ready!			",0,0,0,0,0,0,0
