user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/nww02/,37,1,28.6 hrs on record,"
				45 of 49 people (92%) found this review helpful3 people found this review funny			","
Posted: February 5, 2014
												I'll admit that rally games are my guilty pleasure.  Most feature mushy controls, daft physics or ridiculously undamageable cars.  this has none of those.  The controls are crisp, the physics moderately good, and cars which will fly apart satisfyingly when you ram into a building or errant rock.   The career feature is quite well done, leaving you to decide which cars to buy to win certain races.  It does have relatively few maps (4 maybe?), but  a lot of variety of tracks round them keep things moderately interesting.  Stability-wise, there were very few glitches (I can count them on one hand, after months of play). The car addons actually feel like they're making a difference, and strategic part and tyre-selection can make an impossible stage remarkably enjoyable.The games's only main downside is the repetitiveness.  Only four 'areas', means you get to race the same track over and over in different directions and different combinations of bits.  The openness of the career path does also lead to you making bad choices when purchasing cars and add-ons from time to time.   That means you must  race the same race 10x in a row to get the money to afford the thing you should have bought instead.    The only other small downside is the micro-stutter which occurs when a texture or sound is first loaded.  That can cause you to spin out, or miss a corner (e.g. when the game first loads the copilot voice for that corner).  A quick reload, and it doesn't happen there again.   Other than these small niggles, the game is notably bug and hassle-free.I recommend anyone who likes Rally games to play this.. It's got satisfaction value in spades, and while it's not as polished as Colin Macrae, I think in some areas it beats it (blasphemy!!) :-)			",210,93,7,32,33,0,53
http://steamcommunity.com/profiles/76561198035830497/,21,1,3.0 hrs on record,"
				24 of 29 people (83%) found this review helpful9 people found this review funny			","
Posted: March 8, 2015
												Me and my dad love this game			",148,9,14,8,8,2,3
http://steamcommunity.com/id/metalfeast/,89,1,0.3 hrs on record,"
				8 of 9 people (89%) found this review helpful			","
Posted: October 26, 2015
												this is a pretty good rally game mixed with arcade and sim elements. but for me, richard burns rally surpassed all late-comers even today.			",229,28,18,17,43,0,29
http://steamcommunity.com/id/nealsavage/,46,1,4.2 hrs on record,"
				10 of 13 people (77%) found this review helpful2 people found this review funny			","
Posted: June 11, 2014
												Brilliant game! Totally recommend this game to those who like racing and rally games!			",234,80,17,37,73,4,85
http://steamcommunity.com/id/sbeNichrome/,14,1,1.2 hrs on record,"
				8 of 11 people (73%) found this review helpful1 person found this review funny			","
Posted: November 5, 2014
												My favourite game when I was 8 years old and finally bought it as I've lost 2nd installation CD! Recommended. Very good graphics and physics as for 10 year old game.			",223,36,27,27,26,4,32
http://steamcommunity.com/id/Lazarus_/,25,1,1.9 hrs on record,"
				21 of 26 people (81%) found this review helpful2 people found this review funny			","
Posted: April 14, 2014
												Key features:realistic driving, if chosen.destructable cars.customizability.The game itself, in my opinion, is worth the price they are asking.The only flaw is that you have to go into regedit or some registry program and edit it to make it playable, but it took me only about 2 minutes to do.9/10 ",147,24,4,12,10,1,20
http://steamcommunity.com/profiles/76561197989198281/,11,1,2.3 hrs on record,"
				13 of 14 people (93%) found this review helpful2 people found this review funny			","
Posted: July 9, 2014
												Old game, BUT...Still better than most of todays screenshot generators. This game focuses on the core: tweaking, upgrading, driving skills. Although its outdated physics engine, the game delivers a true rally feeling. ",41,16,8,2,10,1,18
http://steamcommunity.com/profiles/76561197979356864/,9,1,19.3 hrs on record,"
				8 of 8 people (100%) found this review helpful			","
Posted: February 18, 2016
												We can't buy Richard Burns Rally anymore, but we can buy this instead. It's not exactly a simulation (even on ""simulation"" mode), but it is a ton of fun. The physics are based in reality, and you can use all of the standard techniques to induce oversteer. It's a bit easy to go sideways, especially in a FWD car, but not glaringly unrealistic. I am not a rally driver, but I checked the FWD performance against Live For Speed (an acknowledged ""realistic"" sim) on its rallycross tracks, and I was able to get a similar FWD car (the Mini clone) to oversteer using throttle liftoff and brake, just like I was doing in Xpand. One funny thing is that you seem to be able to do powerslides in FWD cars in Xpand, which is obviously unrealistic. But that's fine, I just imagine that the FWD cars are AWD. The bottom line is that the physics are authentic enough that you can use the instincts you have developed in sims and have fun doing it.Apart from physics and realism, the game is just a lot of fun to play. I have played the first stage about a dozen times, just because it's really fun. If you do nothing but play that first race, it will be more than worth the price. The stage design is one of the best things about this game: the stages are all completely crazy, with lots of tight turns and elevation changes keeping you on your toes without being unrealistic. And unlike many newer games, you don't have to sit through cutscenes, tutorials, and boring intro missions to get to the gameplay. Thankfully, you just turn it on and go right to the good part (the sideways racing).It is an old game, so you will have to edit a configuration file if you want full 1080p resolution and 144Hz refresh rate, but it's easy. The file you're looking for is called VideoSettings.scr, and it's located in the Xpand Rally\Data folder. The settings in the file are clearly labeled and self-explanatory. Have fun!Edit: This game has a crazy difficulty curve. Don't try to drive insanely ""at the limit,"" because some very strange things can happen with the physics at the limit. Instead, upgrade your car and drive carefully according to the pacenotes. Still a fun game and worth $5.			",55,9,22,1,2,0,10
http://steamcommunity.com/profiles/76561198126937444/,4,1,2.8 hrs on record,"
				12 of 16 people (75%) found this review helpful2 people found this review funny			","
Posted: July 3, 2014
												I have only had this game for a few hours, and I have to say, I LOVE ITI have not played alot of racing games before, but I feel this was a good start. I like the Firstperson aspect of it, and I love the drifting. The Ecinomical Aspect is also very nice. The engine for the game is amazing! Realistic steering, drifting, and perspective!Last but not least, GREAT GAME for the price!!!! If you like racing games or interested in starting, Buy this!!!10/10			",33,0,1,0,2,0,0
http://steamcommunity.com/id/varaosa/,35,1,12.8 hrs on record,"
				6 of 7 people (86%) found this review helpful1 person found this review funny			","
Posted: October 20, 2011
												ENG:A really good racing game where you have the opportunity to repair, tune and adjust the car, good price, the racing game and a much better presentation of what the game gives a picture of the inside of this game, a testimonial!FIN:Todella hyvä rallipeli, jossa on mahdollisuus korjata, tuunata sekä säätää autoa, hyvä rallipeli hintaansa nähden ja paljon parempi peli mitä esittely sisältä antaa kuvan tästäpelistä, suositteluni!			",452,105,67,38,78,8,80
http://steamcommunity.com/id/muffinsuprisebuttsex/,20,1,3.6 hrs on record,"
				10 of 15 people (67%) found this review helpful1 person found this review funny			","
Posted: December 3, 2013
												Good all around game			",0,0,0,0,0,0,0
http://steamcommunity.com/id/thedruids/,10,1,17.7 hrs on record,"
				8 of 12 people (67%) found this review helpful1 person found this review funny			","
Posted: June 26, 2014
												Fun game when you have nothing to do.			",17,1,1,0,3,0,1
http://steamcommunity.com/profiles/76561198070921586/,6,1,2.3 hrs on record,"
				8 of 12 people (67%) found this review helpful1 person found this review funny			","
Posted: May 22, 2014
												This is a great Rally game. Lots of options to tweak your rides, but also lots of preconf stuff to get you racing from the start.			",37,14,3,1,6,0,2
http://steamcommunity.com/id/cylentgamer/,12,1,2.1 hrs on record,"
				3 of 3 people (100%) found this review helpful			","
Posted: March 1, 2015
												Rally Racing Simulation at its finest. Adjust the controls sensitivity and enjoy. Really good career & multiplayer.			",140,3,22,1,5,6,0
http://steamcommunity.com/id/zakk493/,10,1,1.7 hrs on record,"
				3 of 3 people (100%) found this review helpful1 person found this review funny			","
Posted: April 21, 2014
												A very fun, realistic, detailed, racing game! Worth the price!!!			",16,5,2,0,2,0,1
http://steamcommunity.com/id/knightgoat/,48,1,5.8 hrs on record,"
				4 of 5 people (80%) found this review helpful1 person found this review funny			","
Posted: July 1, 2014
												This is a great rally game. Graphics are solid, Gameplay is solid. offers both Arcade mode and Realism mode. Easy configuration. If you enjoy the rally racing genre this is a must buy.			",117,22,6,34,19,2,10
http://steamcommunity.com/id/Freerider-Dave/,12,1,17.2 hrs on record,"
				6 of 9 people (67%) found this review helpful1 person found this review funny			","
Posted: February 5, 2011
												Awesome arcade rally game that I fear may be heavily underated. Its basic but having rivals and modding the cars yourself is great fun			",127,29,30,7,28,0,22
http://steamcommunity.com/id/joecigar/,30,1,3.4 hrs on record,"
				2 of 2 people (100%) found this review helpful1 person found this review funny			","
Posted: November 11, 2011
												realism of offroad racing.			",52,3,4,3,9,2,14
http://steamcommunity.com/id/samuraijackin/,8,1,12.5 hrs on record,"
				4 of 4 people (100%) found this review helpful1 person found this review funny			","
Posted: December 16, 2011
												One of my favorite rally racing games of all time. The handling model is just realistic enough to be enjoyable, without being too difficult.Non-licensed cars are a bit lame, but you do have some tuning and upgrade options which is nice.Tracks are very varied and the game is overall just a blast to play if you like Rally games.			",381,110,19,5,9,2,12
http://steamcommunity.com/profiles/76561197971124545/,13,1,16.5 hrs on record,"
				5 of 6 people (83%) found this review helpful			","
Posted: June 18, 2015
												Have not played a racing game for years. This was fun, and plays nice with keyboard, no need for a wheel or gamepad. Some of the tracks can be just a teensy bit frustrating, but race another event, get some cash, buy an upgrade and come back to it with a more powerful machine. The constant quest for cash 'drove' me on. 16 hours to beat all events.			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561197990287930/,10,1,3.9 hrs on record,"
				2 of 2 people (100%) found this review helpful			","
Posted: August 30, 2014
												great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!			",36,38,2,3,0,0,9
http://steamcommunity.com/profiles/76561198086114516/,13,1,18.6 hrs on record,"
				2 of 2 people (100%) found this review helpful			","
Posted: October 5, 2014
												Awsome game! Very realistic..			",0,0,0,0,0,0,0
http://steamcommunity.com/id/youpornderp/,21,1,4.8 hrs on record,"
				2 of 2 people (100%) found this review helpful			","
Posted: April 16, 2015
												Was really fun for a while but the maps get little boring after a while and money can be tight some times 9/10			",17,6,10,1,10,0,1
http://steamcommunity.com/id/willwasnt/,20,1,3.0 hrs on record,"
				2 of 2 people (100%) found this review helpful			","
Posted: May 27, 2015
												I bought this game a few years ago and just recently started playing it. Honestly, I've been missing out. This game is wonderful, It plays nice. 9/10			",0,0,0,0,0,0,0
